Location,Latitude,Longitude,Paleolatitude,Paleolongitude,Age,SampleType,Method,Temp_C,SE+,SE-,Reference,Marine/Terrestrial,TimePeriod,Stage
"AND-1B, Antarctica",-77.9,167.1,-77.9,167.1,Pliocene,Diatom,?18O,-0.4,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 693, Antarctica",-70.8,-14.6,-70.8,-14.6,Pliocene,Diatom,?18O,1.2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 274, Pacific ocean",-69,173.4,-69,173.4,Pliocene,Diatom,?18O,1.4,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"E13-17, Pacific ocean",-65.7,-124.1,-65.7,-124.1,Pliocene,Diatom,?18O,3,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 690, South Atlantic ocean",-65.2,1.2,-65.2,1.2,Pliocene,Diatom,?18O,2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 323, Pacific ocean",-63.7,-98,-63.7,-98,Pliocene,Diatom,?18O,3.6,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"E50-28, Pacific ocean",-62.9,150.7,-62.9,150.7,Pliocene,Diatom,?18O,2.1,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 695, South Atlantic ocean",-62.4,-43.5,-62.4,-43.5,Pliocene,Diatom,?18O,2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"E50-33, Pacific ocean",-61.1,170.1,-61.1,170.1,Pliocene,Diatom,?18O,3.7,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"E14-8, Pacific ocean",-59.7,-160.3,-59.7,-160.3,Pliocene,Diatom,?18O,4.1,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 745, Indian ocean",-59.6,85.9,-59.6,85.9,Pliocene,Diatom,?18O,2.5,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 748, Indian ocean",-58.4,79,-58.4,79,Pliocene,Diatom,?18O,2.4,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
